region,date,epi_week,newCases,accumCases,newDeaths,accumDeaths,newRecovered,newFollowup,pop
Midwest,2023-01-01,1,0,4164493,0,65522,NA,NA,16297074
Midwest,2023-01-02,1,4914,4169407,11,65533,NA,NA,16297074
Midwest,2023-01-03,1,7786,4177193,38,65571,NA,NA,16297074
Midwest,2023-01-04,1,4562,4181755,23,65594,NA,NA,16297074
Midwest,2023-01-05,1,3963,4185718,10,65604,NA,NA,16297074
Midwest,2023-01-06,1,3100,4188818,15,65619,NA,NA,16297074
Midwest,2023-01-07,1,6004,4194822,5,65624,NA,NA,16297074
Midwest,2023-01-08,2,361,4195183,2,65626,NA,NA,16297074
Midwest,2023-01-09,2,1233,4196416,0,65626,NA,NA,16297074
Midwest,2023-01-10,2,6089,4202505,20,65646,NA,NA,16297074
Midwest,2023-01-11,2,5411,4207916,21,65667,NA,NA,16297074
Midwest,2023-01-12,2,2956,4210872,16,65683,NA,NA,16297074
Midwest,2023-01-13,2,3331,4214203,6,65689,NA,NA,16297074
Midwest,2023-01-14,2,0,4214203,0,65689,NA,NA,16297074
Midwest,2023-01-15,3,1850,4216053,1,65690,NA,NA,16297074
Midwest,2023-01-16,3,1843,4217896,9,65699,NA,NA,16297074
Midwest,2023-01-17,3,4043,4221939,31,65730,NA,NA,16297074
Midwest,2023-01-18,3,2892,4224831,10,65740,NA,NA,16297074
Midwest,2023-01-19,3,2131,4226962,6,65746,NA,NA,16297074
Midwest,2023-01-20,3,2865,4229827,13,65759,NA,NA,16297074
Midwest,2023-01-21,3,1303,4231130,5,65764,NA,NA,16297074
Midwest,2023-01-22,4,165,4231295,0,65764,NA,NA,16297074
Midwest,2023-01-23,4,1494,4232789,5,65769,NA,NA,16297074
Midwest,2023-01-24,4,3681,4236470,13,65782,NA,NA,16297074
Midwest,2023-01-25,4,2835,4239305,17,65799,NA,NA,16297074
Midwest,2023-01-26,4,1501,4240806,0,65799,NA,NA,16297074
Midwest,2023-01-27,4,2623,4243429,13,65812,NA,NA,16297074
Midwest,2023-01-28,4,657,4244086,2,65814,NA,NA,16297074
Midwest,2023-01-29,5,105,4244191,0,65814,NA,NA,16297074
Midwest,2023-01-30,5,856,4245047,2,65816,NA,NA,16297074
Midwest,2023-01-31,5,2636,4247683,21,65837,NA,NA,16297074
Midwest,2023-02-01,5,421,4248104,0,65837,NA,NA,16297074
Midwest,2023-02-02,5,2051,4250155,5,65842,NA,NA,16297074
Midwest,2023-02-03,5,1499,4251654,12,65854,NA,NA,16297074
Midwest,2023-02-04,5,417,4252071,10,65864,NA,NA,16297074
Midwest,2023-02-05,6,82,4252153,0,65864,NA,NA,16297074
Midwest,2023-02-06,6,983,4253136,4,65868,NA,NA,16297074
Midwest,2023-02-07,6,2866,4256002,21,65889,NA,NA,16297074
Midwest,2023-02-08,6,1162,4257164,3,65892,NA,NA,16297074
Midwest,2023-02-09,6,1456,4258620,0,65892,NA,NA,16297074
Midwest,2023-02-10,6,1332,4259952,8,65900,NA,NA,16297074
Midwest,2023-02-11,6,875,4260827,2,65902,NA,NA,16297074
Midwest,2023-02-12,7,0,4260827,0,65902,NA,NA,16297074
Midwest,2023-02-13,7,353,4261180,2,65904,NA,NA,16297074
Midwest,2023-02-14,7,1651,4262831,12,65916,NA,NA,16297074
Midwest,2023-02-15,7,2024,4264855,4,65920,NA,NA,16297074
Midwest,2023-02-16,7,1187,4266042,8,65928,NA,NA,16297074
Midwest,2023-02-17,7,4472,4270514,4,65932,NA,NA,16297074
Midwest,2023-02-18,7,432,4270946,2,65934,NA,NA,16297074
Midwest,2023-02-19,8,12,4270958,0,65934,NA,NA,16297074
Midwest,2023-02-20,8,0,4270958,0,65934,NA,NA,16297074
Midwest,2023-02-21,8,1069,4272027,8,65942,NA,NA,16297074
Midwest,2023-02-22,8,46,4272073,0,65942,NA,NA,16297074
Midwest,2023-02-23,8,2471,4274544,6,65948,NA,NA,16297074
Midwest,2023-02-24,8,1338,4275882,10,65958,NA,NA,16297074
Midwest,2023-02-25,8,1014,4276896,0,65958,NA,NA,16297074
Midwest,2023-02-26,9,129,4277025,0,65958,NA,NA,16297074
Midwest,2023-02-27,9,381,4277406,2,65960,NA,NA,16297074
Midwest,2023-02-28,9,1963,4279369,13,65973,NA,NA,16297074
Midwest,2023-03-01,9,597,4279966,0,65973,NA,NA,16297074
Midwest,2023-03-02,9,1292,4281258,2,65975,NA,NA,16297074
Midwest,2023-03-03,9,960,4282218,2,65977,NA,NA,16297074
Midwest,2023-03-04,9,3504,4285722,15,65992,NA,NA,16297074
Midwest,2023-03-05,10,0,4285722,0,65992,NA,NA,16297074
Midwest,2023-03-06,10,0,4285722,0,65992,NA,NA,16297074
Midwest,2023-03-07,10,0,4285722,0,65992,NA,NA,16297074
Midwest,2023-03-08,10,0,4285722,0,65992,NA,NA,16297074
Midwest,2023-03-09,10,0,4285722,0,65992,NA,NA,16297074
Midwest,2023-03-10,10,0,4285722,0,65992,NA,NA,16297074
Midwest,2023-03-11,10,3892,4289614,10,66002,NA,NA,16297074
Midwest,2023-03-12,11,0,4289614,0,66002,NA,NA,16297074
Midwest,2023-03-13,11,0,4289614,0,66002,NA,NA,16297074
Midwest,2023-03-14,11,0,4289614,0,66002,NA,NA,16297074
Midwest,2023-03-15,11,0,4289614,0,66002,NA,NA,16297074
Midwest,2023-03-16,11,0,4289614,0,66002,NA,NA,16297074
Midwest,2023-03-17,11,0,4289614,0,66002,NA,NA,16297074
Midwest,2023-03-18,11,4525,4294139,21,66023,NA,NA,16297074
Midwest,2023-03-19,12,0,4294139,0,66023,NA,NA,16297074
Midwest,2023-03-20,12,0,4294139,0,66023,NA,NA,16297074
Midwest,2023-03-21,12,0,4294139,0,66023,NA,NA,16297074
Midwest,2023-03-22,12,0,4294139,0,66023,NA,NA,16297074
Midwest,2023-03-23,12,0,4294139,0,66023,NA,NA,16297074
Midwest,2023-03-24,12,0,4294139,0,66023,NA,NA,16297074
Midwest,2023-03-25,12,5544,4299683,26,66049,NA,NA,16297074
Midwest,2023-03-26,13,0,4299683,0,66049,NA,NA,16297074
Midwest,2023-03-27,13,0,4299683,0,66049,NA,NA,16297074
Midwest,2023-03-28,13,0,4299683,0,66049,NA,NA,16297074
Midwest,2023-03-29,13,0,4299683,0,66049,NA,NA,16297074
Midwest,2023-03-30,13,0,4299683,0,66049,NA,NA,16297074
Midwest,2023-03-31,13,0,4299683,0,66049,NA,NA,16297074
Midwest,2023-04-01,13,5502,4305185,24,66073,NA,NA,16297074
Midwest,2023-04-02,14,0,4305185,0,66073,NA,NA,16297074
Midwest,2023-04-03,14,0,4305185,0,66073,NA,NA,16297074
Midwest,2023-04-04,14,0,4305185,0,66073,NA,NA,16297074
Midwest,2023-04-05,14,0,4305185,0,66073,NA,NA,16297074
Midwest,2023-04-06,14,0,4305185,0,66073,NA,NA,16297074
Midwest,2023-04-07,14,0,4305185,0,66073,NA,NA,16297074
Midwest,2023-04-08,14,5810,4310995,17,66090,NA,NA,16297074
Midwest,2023-04-09,15,0,4310995,0,66090,NA,NA,16297074
Midwest,2023-04-10,15,0,4310995,0,66090,NA,NA,16297074
Midwest,2023-04-11,15,0,4310995,0,66090,NA,NA,16297074
Midwest,2023-04-12,15,0,4310995,0,66090,NA,NA,16297074
Midwest,2023-04-13,15,0,4310995,0,66090,NA,NA,16297074
Midwest,2023-04-14,15,0,4310995,0,66090,NA,NA,16297074
Midwest,2023-04-15,15,5567,4316562,19,66109,NA,NA,16297074
Midwest,2023-04-16,16,0,4316562,0,66109,NA,NA,16297074
Midwest,2023-04-17,16,0,4316562,0,66109,NA,NA,16297074
Midwest,2023-04-18,16,0,4316562,0,66109,NA,NA,16297074
Midwest,2023-04-19,16,0,4316562,0,66109,NA,NA,16297074
Midwest,2023-04-20,16,0,4316562,0,66109,NA,NA,16297074
Midwest,2023-04-21,16,0,4316562,0,66109,NA,NA,16297074
Midwest,2023-04-22,16,3682,4320244,25,66134,NA,NA,16297074
Midwest,2023-04-23,17,0,4320244,0,66134,NA,NA,16297074
Midwest,2023-04-24,17,0,4320244,0,66134,NA,NA,16297074
Midwest,2023-04-25,17,0,4320244,0,66134,NA,NA,16297074
Midwest,2023-04-26,17,0,4320244,0,66134,NA,NA,16297074
Midwest,2023-04-27,17,0,4320244,0,66134,NA,NA,16297074
