region,state,date,epi_week,newCases,accumCases,newDeaths,accumDeaths,newRecovered,newFollowup,pop,state_code
North,RO,2023-01-01,1,0,471673,0,7399,NA,NA,1777225,11
North,RO,2023-01-02,1,439,472112,1,7400,NA,NA,1777225,11
North,RO,2023-01-03,1,347,472459,1,7401,NA,NA,1777225,11
North,RO,2023-01-04,1,739,473198,3,7404,NA,NA,1777225,11
North,RO,2023-01-05,1,526,473724,2,7406,NA,NA,1777225,11
North,RO,2023-01-06,1,413,474137,0,7406,NA,NA,1777225,11
North,RO,2023-01-07,1,318,474455,1,7407,NA,NA,1777225,11
North,RO,2023-01-08,2,123,474578,2,7409,NA,NA,1777225,11
North,RO,2023-01-09,2,334,474912,3,7412,NA,NA,1777225,11
North,RO,2023-01-10,2,517,475429,0,7412,NA,NA,1777225,11
North,RO,2023-01-11,2,544,475973,2,7414,NA,NA,1777225,11
North,RO,2023-01-12,2,656,476629,0,7414,NA,NA,1777225,11
North,RO,2023-01-13,2,354,476983,1,7415,NA,NA,1777225,11
North,RO,2023-01-14,2,135,477118,0,7415,NA,NA,1777225,11
North,RO,2023-01-15,3,17,477135,0,7415,NA,NA,1777225,11
North,RO,2023-01-16,3,60,477195,2,7417,NA,NA,1777225,11
North,RO,2023-01-17,3,431,477626,1,7418,NA,NA,1777225,11
North,RO,2023-01-18,3,445,478071,0,7418,NA,NA,1777225,11
North,RO,2023-01-19,3,192,478263,0,7418,NA,NA,1777225,11
North,RO,2023-01-20,3,182,478445,0,7418,NA,NA,1777225,11
North,RO,2023-01-21,3,117,478562,0,7418,NA,NA,1777225,11
North,RO,2023-01-22,4,8,478570,0,7418,NA,NA,1777225,11
North,RO,2023-01-23,4,144,478714,0,7418,NA,NA,1777225,11
North,RO,2023-01-24,4,108,478822,0,7418,NA,NA,1777225,11
North,RO,2023-01-25,4,563,479385,2,7420,NA,NA,1777225,11
North,RO,2023-01-26,4,188,479573,5,7425,NA,NA,1777225,11
North,RO,2023-01-27,4,197,479770,-1,7424,NA,NA,1777225,11
North,RO,2023-01-28,4,117,479887,0,7424,NA,NA,1777225,11
North,RO,2023-01-29,5,0,479887,0,7424,NA,NA,1777225,11
North,RO,2023-01-30,5,996,480883,1,7425,NA,NA,1777225,11
North,RO,2023-01-31,5,159,481042,0,7425,NA,NA,1777225,11
North,RO,2023-02-01,5,169,481211,0,7425,NA,NA,1777225,11
North,RO,2023-02-02,5,72,481283,1,7426,NA,NA,1777225,11
North,RO,2023-02-03,5,53,481336,0,7426,NA,NA,1777225,11
North,RO,2023-02-04,5,175,481511,0,7426,NA,NA,1777225,11
North,RO,2023-02-05,6,5,481516,0,7426,NA,NA,1777225,11
North,RO,2023-02-06,6,9,481525,0,7426,NA,NA,1777225,11
North,RO,2023-02-07,6,69,481594,2,7428,NA,NA,1777225,11
North,RO,2023-02-08,6,45,481639,-1,7427,NA,NA,1777225,11
North,RO,2023-02-09,6,72,481711,0,7427,NA,NA,1777225,11
North,RO,2023-02-10,6,104,481815,0,7427,NA,NA,1777225,11
North,RO,2023-02-11,6,56,481871,0,7427,NA,NA,1777225,11
North,RO,2023-02-12,7,0,481871,0,7427,NA,NA,1777225,11
North,RO,2023-02-13,7,181,482052,-1,7426,NA,NA,1777225,11
North,RO,2023-02-14,7,95,482147,0,7426,NA,NA,1777225,11
North,RO,2023-02-15,7,25,482172,0,7426,NA,NA,1777225,11
North,RO,2023-02-16,7,40,482212,2,7428,NA,NA,1777225,11
North,RO,2023-02-17,7,97,482309,0,7428,NA,NA,1777225,11
North,RO,2023-02-18,7,21,482330,0,7428,NA,NA,1777225,11
North,RO,2023-02-19,8,7,482337,0,7428,NA,NA,1777225,11
North,RO,2023-02-20,8,21,482358,0,7428,NA,NA,1777225,11
North,RO,2023-02-21,8,10,482368,0,7428,NA,NA,1777225,11
North,RO,2023-02-22,8,54,482422,0,7428,NA,NA,1777225,11
North,RO,2023-02-23,8,22,482444,0,7428,NA,NA,1777225,11
North,RO,2023-02-24,8,99,482543,1,7429,NA,NA,1777225,11
North,RO,2023-02-25,8,56,482599,0,7429,NA,NA,1777225,11
North,RO,2023-02-26,9,1,482600,0,7429,NA,NA,1777225,11
North,RO,2023-02-27,9,54,482654,1,7430,NA,NA,1777225,11
North,RO,2023-02-28,9,77,482731,0,7430,NA,NA,1777225,11
North,RO,2023-03-01,9,32,482763,0,7430,NA,NA,1777225,11
North,RO,2023-03-02,9,106,482869,1,7431,NA,NA,1777225,11
North,RO,2023-03-03,9,41,482910,1,7432,NA,NA,1777225,11
North,RO,2023-03-04,9,0,482910,0,7432,NA,NA,1777225,11
North,RO,2023-03-05,10,0,482910,0,7432,NA,NA,1777225,11
North,RO,2023-03-06,10,0,482910,0,7432,NA,NA,1777225,11
North,RO,2023-03-07,10,0,482910,0,7432,NA,NA,1777225,11
North,RO,2023-03-08,10,0,482910,0,7432,NA,NA,1777225,11
North,RO,2023-03-09,10,0,482910,0,7432,NA,NA,1777225,11
North,RO,2023-03-10,10,0,482910,0,7432,NA,NA,1777225,11
North,RO,2023-03-11,10,301,483211,-2,7430,NA,NA,1777225,11
North,RO,2023-03-12,11,0,483211,0,7430,NA,NA,1777225,11
North,RO,2023-03-13,11,0,483211,0,7430,NA,NA,1777225,11
North,RO,2023-03-14,11,0,483211,0,7430,NA,NA,1777225,11
North,RO,2023-03-15,11,0,483211,0,7430,NA,NA,1777225,11
North,RO,2023-03-16,11,0,483211,0,7430,NA,NA,1777225,11
North,RO,2023-03-17,11,0,483211,0,7430,NA,NA,1777225,11
North,RO,2023-03-18,11,245,483456,0,7430,NA,NA,1777225,11
North,RO,2023-03-19,12,0,483456,0,7430,NA,NA,1777225,11
North,RO,2023-03-20,12,0,483456,0,7430,NA,NA,1777225,11
North,RO,2023-03-21,12,0,483456,0,7430,NA,NA,1777225,11
North,RO,2023-03-22,12,0,483456,0,7430,NA,NA,1777225,11
North,RO,2023-03-23,12,0,483456,0,7430,NA,NA,1777225,11
North,RO,2023-03-24,12,0,483456,0,7430,NA,NA,1777225,11
North,RO,2023-03-25,12,236,483692,3,7433,NA,NA,1777225,11
North,RO,2023-03-26,13,0,483692,0,7433,NA,NA,1777225,11
North,RO,2023-03-27,13,0,483692,0,7433,NA,NA,1777225,11
North,RO,2023-03-28,13,0,483692,0,7433,NA,NA,1777225,11
North,RO,2023-03-29,13,0,483692,0,7433,NA,NA,1777225,11
North,RO,2023-03-30,13,0,483692,0,7433,NA,NA,1777225,11
North,RO,2023-03-31,13,0,483692,0,7433,NA,NA,1777225,11
North,RO,2023-04-01,13,90,483782,0,7433,NA,NA,1777225,11
North,RO,2023-04-02,14,0,483782,0,7433,NA,NA,1777225,11
North,RO,2023-04-03,14,0,483782,0,7433,NA,NA,1777225,11
North,RO,2023-04-04,14,0,483782,0,7433,NA,NA,1777225,11
North,RO,2023-04-05,14,0,483782,0,7433,NA,NA,1777225,11
North,RO,2023-04-06,14,0,483782,0,7433,NA,NA,1777225,11
North,RO,2023-04-07,14,0,483782,0,7433,NA,NA,1777225,11
North,RO,2023-04-08,14,142,483924,0,7433,NA,NA,1777225,11
North,RO,2023-04-09,15,0,483924,0,7433,NA,NA,1777225,11
North,RO,2023-04-10,15,0,483924,0,7433,NA,NA,1777225,11
North,RO,2023-04-11,15,0,483924,0,7433,NA,NA,1777225,11
